feature,importance
Planet_radius,0.25596798983626395
orbital_period,0.1220933394736097
Equilibrium_temp,0.11537626925613384
Insolation_flux,0.10809731740981281
Transit_depth,0.10705175396356267
Transit_duration,0.0987568706702336
Stellar_temperature,0.06358935359869253
Stellar_radius,0.04715293083916078
Stellar_surface_ gravity,0.03925312138974901
Magnitude,0.037420325823581485
classification,0.005240727739199651
