Disposition,Right_ascension,Declination,Transit_epoch,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperature,Stellar_surface_ gravity,Stellar_radius,Planet_name
CP,83.26925,-26.72387,2458440.63,12.4610086,3.3195777,2078.142598,3.2809492,28.3587888,588.5612549,8.1705,4891,4.62,0.726632,31374837
CP,83.26925,-26.72387,2458438.376,0.4900589,1.0123328,291.0399722,1.4741529,2120.447466,1730.719269,8.1705,4891,4.62,0.726632,31374837
CP,28.715796,-29.421709,2458384.02,0.76566,1.452,1410,3.54139,2314.06,1932,11.5485,5311,4.47,0.92,33595516
CP,93.057845,-14.649317,2458474.57,13.6308024,4.3426564,1179.103334,3.5493962,60.1603117,710.3089208,8.7615,6114,4.5101,1.00528,33692729
CP,146.121464,-45.779016,2460013.713,0.3219233,0.199,204,2.66076,469.443,1296,8.031941,3518,4.82492,0.46,34068865
CP,94.164473,-13.987337,2460663.875,2.5735943,2.4810064,739.6008283,2.7779229,301.8661097,1063.098093,9.2563,4935,4.52,0.816999,34077285
CP,164.724551,-5.547545,2458543.434,1.5275639,1.3727055,2892.422794,2.6103318,59.3669472,707.9554489,12.2255,3433,4.89676,0.427953,35009898
CP,154.644903,-11.717801,2459988.468,0.7683904,1.0241242,903.9933214,1.1406447,112.6409067,830.8904817,10.5848,3329,4.94957,0.374139,36724087
CP,154.644903,-11.717801,2459992.613,12.2534308,1.369949,3729.634709,2.2967944,2.8062634,330.1048127,10.5848,3329,4.94957,0.374139,36724087
CP,4.773018,-9.96615,2458392.294,13.4758478,2.0643913,708.9461601,1.9840882,10.1837519,455.6136246,8.4991,4111,4.6461,0.618173,37749396
CP,94.009904,-25.031411,2458474.495,12.1914558,3.3188127,2625.057074,4.6131319,44.7551381,659.6756823,10.6995,5418,4.57259,0.840971,37770169
CP,89.130026,-5.01203,2459227.044,4.0197555,2.688,9750,9.57594,211.813,1062,11.5521,5216,4.44,0.94,39414571
CP,136.777644,46.672425,2458875.998,6.5273884,3.1190657,415.430891,2.8972637,413.1007903,1149.830319,8.4594,6023,4.23995,1.32944,39699648
CP,293.083789,34.940397,2459444.902,4.1793301,5.161,4900,16.1603,2876.9,2040,11.6917,7349,3.93,2.31,40055053
CP,293.322326,30.704247,2460319.525,12.7791964,5.242,3008,6.85813,374.462,1225,9.77301,6280,4.28,1.33,40292751
CP,60.949392,-25.408921,2458413.06,2.788654,1.8900186,26339.9058,9.665126,51.9487662,684.7208601,13.8231,3654,4.438,0.587106,44737596
CP,61.941059,-25.208803,2459167.325,3.68497,4.536,2070,9.05543,1260.27,1659,9.77919,5756,3.88,1.93,44792534
CP,64.13091,-28.315791,2458413.192,2.7299049,0.8257288,7427.724966,1.3513606,4.0669768,362.1910146,14.2683,2887,5.15917,0.155498,44898913
CP,147.4067,-33.218503,2459283.032,4.5696698,3.9536171,9861.079392,13.0582928,616.12218,1270.680778,12.4399,6122,4.283,1.28306,48103627
CP,164.34914,-29.997123,2460017.859,6.2462252,4.2508361,13270.52927,13.4614756,339.10135,1094.465634,11.6337,6132,4.38741,1.1417201,49043968
CP,204.542672,-28.142921,2459317.273,10.5988743,1.638,12920,12.6054,18.1082,574,11.6629,5809.9,4.42,1.04,49254857
CP,174.109497,-2.023351,2459527.297,12.2193392,4.8876935,1670.131063,4.8045458,100.9111624,808.3726382,10.6309,5643.77,4.35958,1.09457,49428710
CP,95.934296,-24.024654,2459226.012,9.6578504,5.943,2300,9.98401,258.473,1117,12.2627,5557,3.79,2.09,49705089
CP,82.290072,-0.342898,2458469.757,1.5483542,1.2030925,926.4111032,2.1601741,240.1950345,1004.06252,9.6504,4665,4.67631,0.663414,50618703
CP,336.464302,15.856639,2459849.076,2.709631,3.282,10819,14.9972,1041.16,1582,12.1088,5838,4.12,1.47,51637609
CP,3.957914,13.557617,2459458.901,12.7614706,1.0497761,1215.24958,0.9705763,1.9017251,299.5067987,10.1769,3376,4.9613,0.269427,52005579
CP,23.593425,-66.676349,2460206.744,4.6517186,2.709,978,2.66889,540.772,1343,10.1985,5154,4.47072,0.85,52368076
CP,23.593425,-66.676349,2460202.05,9.1549418,2.457,1101,2.62011,42.2592,710,10.1985,5154,4.47072,0.85,52368076
CP,23.593425,-66.676349,2460181.147,19.9815709,2.724,909,2.54717,16.5853,562,10.1985,5154,4.47072,0.85,52368076
CP,160.065852,-8.511083,2458544.388,2.5989031,1.6635706,1953.261547,2.4312854,48.4615319,672.9286739,11.7602,3719,4.76941,0.512361,54962195
CP,160.065852,-8.511083,2458543.405,4.6955986,2.1638721,1969.101717,2.6626375,22.0222982,552.5039779,11.7602,3719,4.76941,0.512361,54962195
CP,160.065852,-8.511083,2458547.139,7.1024749,2.7542652,1317.715762,1.9895244,12.6834573,481.3147406,11.7602,3719,4.76941,0.512361,54962195
CP,72.69401,-60.905461,2459125.847,83.8962434,13.0330846,1217.672325,7.2168832,29.5832748,594.8141775,9.8467,5823.7,3.77,2.04354,55525572
CP,73.73822,-62.521874,2458325.543,0.7363132,0.6736853,1322.546105,1.5332682,117.7581671,840.1706554,12.4312,3358,4.438,0.351676,55650590
