Disposition,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperatureÂ ,Stellar_surface_ gravity,Stellar_radius,classification
CP,19.9815709,2.724,909,2.54717,16.5853,562,10.1985,5154,4.47072,0.85,1
CP,10.288886,1.391,854,2.63881,9.06856,483,9.1416,5126,4.49772,0.87,1
CP,3.4779776,2.5103489,27021.69324,12.5541925,153.1388971,897.2038496,11.1534,4699,4.54638,0.765001,1
CP,3.1274634,1.9812695,1331.83693,2.5802896,103.2675998,813.0378617,10.8116,4225,4.5756,0.693431,1
CP,7.4931613,1.9339295,1650.64705,2.7733674,32.2107098,607.6028794,10.8116,4225,4.5756,0.693431,1
CP,49.825166,3.8714976,2059.406904,3.8319135,2.5760566,323.1161011,10.8116,4225,4.5756,0.693431,1
CP,10.8948421,2.0719394,3168.385358,2.4691414,5.5137471,390.8242112,11.0402,3618,4.79432,0.435666,1
CP,18.8016111,1.9093524,1686.788103,1.9112282,2.6636757,325.8292621,11.0402,3618,4.79432,0.435666,1
CP,8.157721,3.788,10273,9.31888,91.0972,860,10.1495,5091.2,4.47,0.9,1
CP,4.2529641,2.5733867,758.584999,2.3483383,231.2034004,994.5309519,10.9897,5591,4.38111,0.848906,1
CP,3.7955178,2.0198135,52278.9941,10.3261619,18.0832336,525.9431131,14.1266,3424,4.438,0.445372,1
CP,3.3159772,1.494,2770,4.5947,120.595,923,11.0244,4972.7,4.54,0.81,1
CP,4.6313014,1.435,4860,9.34848,225.013,1078,10.418,5736,4.39,1.07,1
CP,14.4751062,1.6182484,9618.579853,8.6976173,6.5402175,407.866275,11.7819,3841,4.69364,0.55035,1
CP,9.6141636,3.4271882,933.6532689,3.2264735,74.7359105,749.8978043,9.99454,5477,4.5707,0.840608,1
CP,4.9404714,1.954,455,2.3216,320.012,1178,7.9849,6086,4.26269,1.13,1
CP,2.6998294,2.208,2798,4.94551,1198.41,1639,9.93119,6180,4.57956,0.92,1
CP,0.980972,0.5405036,6178.392421,5.9162923,719.5629045,1320.951709,9.9005,4486,4.49914,0.764401,1
CP,3.9152737,2.562,3350,9.43435,311.498,1170,10.9458,5714,4.05,1.58,1
CP,3.1968838,3.7533697,7958.980656,14.9685779,1843.132991,1671.124929,10.7973,6470,4.15,1.59715,1
CP,3.9443668,4.8652146,6732.488454,14.5727196,1078.598699,1461.620826,10.8041,5494,3.93,1.75475,1
CP,4.5371361,4.042155,4199.755875,9.8153513,732.0077048,1326.626483,10.9585,5731,4.1,1.48668,1
